analysis,row_id,role,include,reason,record,group,subset,a_field,a_pattern,a_stage,b_row,b_field,b_pattern,expr,ref_override,fit
r2LlmTemp,L920,comparator,yes,Ibrahim & Zaki LLM baseline Claude Opus 5 median ECE after the same pilot-task temperature fit; compared with Jev's scaled ECE,llmopus5,equal-width 15 bins,,comparator_value,,raw,,value,,a,,transferred (pilot tasks to evaluation tasks)
r2LlmTemp,L921,comparator,yes,Ibrahim & Zaki LLM baseline Gemini 3.5 Flash-Lite median ECE after the same pilot-task temperature fit; compared with Jev's scaled ECE,llmgemini35FlashLite,equal-width 15 bins,,comparator_value,,raw,,value,,a,,transferred (pilot tasks to evaluation tasks)
r2LlmTemp,L922,comparator,yes,Ibrahim & Zaki LLM baseline Claude Sonnet 5 median ECE after the same pilot-task temperature fit; compared with Jev's scaled ECE,llmsonnet5,equal-width 15 bins,,comparator_value,,raw,,value,,a,,transferred (pilot tasks to evaluation tasks)
r2LlmTemp,L923,comparator,yes,Ibrahim & Zaki LLM baseline GPT-OSS 120B median ECE after the same pilot-task temperature fit; compared with Jev's scaled ECE,llmgptOss120b,equal-width 15 bins,,comparator_value,,raw,,value,,a,,transferred (pilot tasks to evaluation tasks)
r2LlmTemp,L924,comparator,yes,Ibrahim & Zaki LLM baseline GPT-5.6 Terra median ECE after the same pilot-task temperature fit; compared with Jev's scaled ECE,llmgpt56Terra,equal-width 15 bins,,comparator_value,,raw,,value,,a,,transferred (pilot tasks to evaluation tasks)
r2LlmTemp,L925,comparator,yes,Ibrahim & Zaki LLM baseline Gemma 4 31B median ECE after the same pilot-task temperature fit; compared with Jev's scaled ECE,llmgemma431b,equal-width 15 bins,,comparator_value,,raw,,value,,a,,transferred (pilot tasks to evaluation tasks)
r2LlmTemp,L926,comparator,yes,Ibrahim & Zaki LLM baseline Kimi K2.6 median ECE after the same pilot-task temperature fit; compared with Jev's scaled ECE,llmkimiK26,equal-width 15 bins,,comparator_value,,raw,,value,,a,,transferred (pilot tasks to evaluation tasks)
r2LlmTemp,L927,comparator,yes,Ibrahim & Zaki LLM baseline DeepSeek V3.2 median ECE after the same pilot-task temperature fit; compared with Jev's scaled ECE,llmdeepseekV32,equal-width 15 bins,,comparator_value,,raw,,value,,a,,transferred (pilot tasks to evaluation tasks)
r2LlmTemp,L928,comparator,yes,Ibrahim & Zaki LLM baseline Mistral Medium 3.5 median ECE after the same pilot-task temperature fit; compared with Jev's scaled ECE,llmmistralMedium35,equal-width 15 bins,,comparator_value,,raw,,value,,a,,transferred (pilot tasks to evaluation tasks)
r2LlmTemp,L929,comparator,yes,Ibrahim & Zaki LLM baseline GPT-5.6 Sol median ECE after the same pilot-task temperature fit; compared with Jev's scaled ECE,llmgpt56Sol,equal-width 15 bins,,comparator_value,,raw,,value,,a,,transferred (pilot tasks to evaluation tasks)
r2LlmTemp,L930,comparator,yes,Ibrahim & Zaki LLM baseline Claude Haiku 4.5 median ECE after the same pilot-task temperature fit; compared with Jev's scaled ECE,llmhaiku45,equal-width 15 bins,,comparator_value,,raw,,value,,a,,transferred (pilot tasks to evaluation tasks)
r2LlmTemp,L931,comparator,yes,Ibrahim & Zaki LLM baseline GPT-5.6 Luna median ECE after the same pilot-task temperature fit; compared with Jev's scaled ECE,llmgpt56Luna,equal-width 15 bins,,comparator_value,,raw,,value,,a,,transferred (pilot tasks to evaluation tasks)
r2LlmTemp,L932,comparator,yes,Ibrahim & Zaki LLM baseline GLM 5.3 median ECE after the same pilot-task temperature fit; compared with Jev's scaled ECE,llmglm53,equal-width 15 bins,,comparator_value,,raw,,value,,a,,transferred (pilot tasks to evaluation tasks)
r2LlmTemp,L006,estimate,yes,Jev median ECE before and after the same pilot-task temperature fit (reference point for the LLM comparison),jev,equal-width 15 bins,,value,,raw,L900,value,,a,,transferred (pilot tasks to evaluation tasks)
