row_id,study_key,arxiv_id,source_url,date,authors,affiliation_type,model,version_pin,task_family,dataset,n,reference_label_type,metric,value,interval_low,interval_high,interval_type,value_key,comparator,comparator_value,comparator_tuning_budget,cost_or_latency,hardware_or_provider,calibration_quantity,post_hoc_calibration,cascade_result,test_set_exposure,code_available,excerpt,location,extractor,ledger_version
L093,rafe2026calibrated,2609.24052,https://arxiv.org/abs/2609.24052,2026-09-21,"Rafe, Das",academic,Jev,jev-1.13.0,document coding,Texas CRIS crash narratives 2017-2025 (Stage-2 random stratum / human reference set),44403,administrative_field,injury_fatal_crashes_added_per_year_across_9_factors,10747,,,,rafe2026calibrated.injuryFatalCrashesAddedPerYear,coded fields alone (9 factors),28057,same prompt,,TypeSafe Jev API,none,Platt,none reported; no cascade/escalation experiment was run in this paper,new,yes (https://github.com/pozapas/jev-calibrated-narrative-coding),"The coded fields attribute 28,057 injury and fatal crashes per year across the nine factors, and the narrative variables add 10,747 more.",Section 4.5 / Section 5,,
L094,rafe2026calibrated,2609.24052,https://arxiv.org/abs/2609.24052,2026-09-21,"Rafe, Das",academic,Jev,jev-1.13.0,document coding,Texas CRIS crash narratives 2017-2025 (Stage-2 random stratum / human reference set),150000,administrative_field,resolution_floor_bound_max_ECE,0.0057,,,,rafe2026calibrated.resolutionFloorBoundMaxPhoneUse,,,same prompt,,TypeSafe Jev API,"ECE (exact discrete-grid estimator, Eq. 12); resolution-floor bound of Proposition 1",none,none reported; no cascade/escalation experiment was run in this paper,new,yes (https://github.com/pozapas/jev-calibrated-narrative-coding),"the bound of Eq. (15) on the attainable calibration error runs from 0.0046 to 0.0057, with the maximum for phone use.",Section 4.2,,
L095,rafe2026calibrated,2609.24052,https://arxiv.org/abs/2609.24052,2026-09-21,"Rafe, Das",academic,Jev,jev-1.13.0,document coding,Texas CRIS crash narratives 2017-2025 (Stage-2 random stratum / human reference set),145,human_adjudicated,F1,0.45,,,,rafe2026calibrated.f1Unbelted,best frontier arm (restraint use),0.88,same prompt,,TypeSafe Jev API,none,none,none reported; no cascade/escalation experiment was run in this paper,new,yes (https://github.com/pozapas/jev-calibrated-narrative-coding),unbelted | 145 | 0.2 | 0.29 | 1.00 | 0.45 |  | 0.45 | 0.10 | 0.027 | 0.012 | 2.2 × \times | sep. | 64,Table 5,,
L096,rafe2026calibrated,2609.24052,https://arxiv.org/abs/2609.24052,2026-09-21,"Rafe, Das",academic,Jev,jev-1.13.0,document coding,Texas CRIS crash narratives 2017-2025 (Stage-2 random stratum / human reference set),183,human_adjudicated,F1,0.52,,,,rafe2026calibrated.f1WrongWay,best frontier arm,0.77,same prompt,,TypeSafe Jev API,none,none,none reported; no cascade/escalation experiment was run in this paper,new,yes (https://github.com/pozapas/jev-calibrated-narrative-coding),wrong_way | 183 | 1.0 | 0.42 | 0.68 | 0.52 |  | 0.52 | 0.37 | 0.046 | 0.045 | 1.0 × \times | 1.55 | 72,Table 5,,
L097,zhang2026same,2609.27678,https://arxiv.org/abs/2609.27678,2026-09-23,"Zhang, Chen, Xie, Zhou, Peng, Fan, et al.",mixed,Jev,1.13.0,classification,ContractNLI,2091,human_adjudicated,accuracy_pct,77.38,75.99,78.81,"95% bootstrap CI (5,000 whole-contract resamples)",zhang2026same.jevBaselineAccuracyPct,Gemini 3.1 Pro Preview,83.21,same prompt,$0.000228 USD/contract; median 1.24 s,"local GPU, $2.00/GPU-hour rental equivalent",none,none,not reported (no cascade/escalation experiment in this paper),public-pre-2026,yes (https://github.com/ZF-Utokyo/Jev-Benchmark),"Jev 1.13.0 | 77.38 | [75.99, 78.81] | 72.23 | 0.000228 | 1.24 | 123/123",Table 1 (official-test baseline),,
L098,zhang2026same,2609.27678,https://arxiv.org/abs/2609.27678,2026-09-23,"Zhang, Chen, Xie, Zhou, Peng, Fan, et al.",mixed,Jev,1.13.0,classification,ContractNLI,123,human_adjudicated,cost_usd_per_contract,0.000228,,,,zhang2026same.jevCostUsdPerContract,GPT-5.6 Luna,0.000931,same prompt,$0.000228 USD/contract,"local GPU, $2.00/GPU-hour rental equivalent",none,none,not reported (no cascade/escalation experiment in this paper),public-pre-2026,yes (https://github.com/ZF-Utokyo/Jev-Benchmark),"Jev 1.13.0 | 77.38 | [75.99, 78.81] | 72.23 | 0.000228 | 1.24 | 123/123",Table 1 (official-test baseline),,
L099,zhang2026same,2609.27678,https://arxiv.org/abs/2609.27678,2026-09-23,"Zhang, Chen, Xie, Zhou, Peng, Fan, et al.",mixed,Jev,1.13.0,classification,ContractNLI,123,human_adjudicated,median_response_time_s,1.24,,,,zhang2026same.jevMedianResponseTimeS,Gemini 3.5 Flash-Lite,1.60,same prompt,median 1.24 s baseline,"same client machine, one in-flight request per model, no retries",none,none,not reported (no cascade/escalation experiment in this paper),public-pre-2026,yes (https://github.com/ZF-Utokyo/Jev-Benchmark),"Jev also has the lowest observed median baseline response time: 1.24 seconds, compared with 1.60 for Flash-Lite and 1.74 for Luna.","Section 4.1, Response time and output workload",,
L100,zhang2026same,2609.27678,https://arxiv.org/abs/2609.27678,2026-09-23,"Zhang, Chen, Xie, Zhou, Peng, Fan, et al.",mixed,Jev,1.13.0,classification,ContractNLI,123,human_adjudicated,p95_response_time_s,1.24,,,,zhang2026same.jevP95ResponseTimeS,GPT-5.6 Luna,1.74,same prompt,median 1.24 s; P95 1.59 s,"same client machine, one in-flight request per model, no retries",none,none,not reported (no cascade/escalation experiment in this paper),public-pre-2026,yes (https://github.com/ZF-Utokyo/Jev-Benchmark),"Jev 1.13.0 | 1.24 | 1.59 | 1.15 | 1.22 | +0.19 | [ + 0.06 , + 0.24 ] [+0.06,+0.24]",Table 23 / Appendix M,,
L101,zhang2026same,2609.27678,https://arxiv.org/abs/2609.27678,2026-09-23,"Zhang, Chen, Xie, Zhou, Peng, Fan, et al.",mixed,Gemini 3.1 Pro Preview,3.1 Pro Preview,classification,ContractNLI,2091,human_adjudicated,accuracy_pct,83.21,81.68,84.79,"95% bootstrap CI (5,000 whole-contract resamples)",zhang2026same.geminiProBaselineAccuracyPct,Jev,77.38,same prompt,$0.008474 USD/contract; median 3.73 s,hosted API,none,none,not reported (no cascade/escalation experiment in this paper),public-pre-2026,yes (https://github.com/ZF-Utokyo/Jev-Benchmark),"Gemini 3.1 Pro Preview | 83.21 | [81.68, 84.79] | 77.71 | 0.008474 | 3.73 | 123/123",Table 1 (official-test baseline),,
L102,zhang2026same,2609.27678,https://arxiv.org/abs/2609.27678,2026-09-23,"Zhang, Chen, Xie, Zhou, Peng, Fan, et al.",mixed,Gemini 3.5 Flash-Lite,3.5 Flash-Lite,classification,ContractNLI,2091,human_adjudicated,accuracy_diff_vs_jev_pct_points,+5.16,+3.49,+6.98,"95% paired bootstrap CI (5,000 whole-contract resamples)",zhang2026same.flashLiteAccuracyDiffVsJev,Jev,77.38,same prompt,$0.001353 USD/contract; median 1.60 s,hosted API,none,none,not reported (no cascade/escalation experiment in this paper),public-pre-2026,yes (https://github.com/ZF-Utokyo/Jev-Benchmark),"Gemini 3.5 Flash-Lite | +5.16 | [+3.49, +6.98] | -6.67 | [-16.67, +0.00]",Table 5 (paired differences from Jev),,
L103,zhang2026same,2609.27678,https://arxiv.org/abs/2609.27678,2026-09-23,"Zhang, Chen, Xie, Zhou, Peng, Fan, et al.",mixed,GPT-5.6 Luna,GPT-5.6,classification,ContractNLI,2091,human_adjudicated,accuracy_diff_vs_jev_pct_points,+1.58,-0.05,+3.11,"95% paired bootstrap CI (5,000 whole-contract resamples)",zhang2026same.lunaAccuracyDiffVsJev,Jev,77.38,same prompt,$0.000931 USD/contract; median 1.74 s,OpenRouter,none,none,not reported (no cascade/escalation experiment in this paper),public-pre-2026,yes (https://github.com/ZF-Utokyo/Jev-Benchmark),"GPT-5.6 Luna | +1.58 | [-0.05, +3.11] | -3.33 | [-10.00, +0.00]",Table 5 (paired differences from Jev),,
L104,zhang2026same,2609.27678,https://arxiv.org/abs/2609.27678,2026-09-23,"Zhang, Chen, Xie, Zhou, Peng, Fan, et al.",mixed,Qwen3.5-4B,3.5-4B,classification,ContractNLI,2091,human_adjudicated,accuracy_pct,74.22,70.59,77.38,"95% bootstrap CI (5,000 whole-contract resamples)",zhang2026same.qwen4bBaselineAccuracyPct,Jev,77.38,same prompt,$0.053653 USD/contract; median 86.87 s,"local GPU, BF16, $2.00/GPU-hour rental equivalent",none,none,not reported (no cascade/escalation experiment in this paper),public-pre-2026,yes (https://github.com/ZF-Utokyo/Jev-Benchmark),"Qwen3.5-4B | 74.22 | [70.59, 77.38] | 71.67 | 0.053653 | 86.87 | 117/123",Table 1 (official-test baseline),,
L105,zhang2026same,2609.27678,https://arxiv.org/abs/2609.27678,2026-09-23,"Zhang, Chen, Xie, Zhou, Peng, Fan, et al.",mixed,Jev,1.13.0,classification,ContractNLI,30,human_adjudicated,all_twelve_correct_count,23,,,,zhang2026same.jevAllTwelveCorrectCount,Claude Sonnet 5,24,same prompt,,,none,none,not reported (no cascade/escalation experiment in this paper),public-pre-2026,yes (https://github.com/ZF-Utokyo/Jev-Benchmark),Jev 1.13.0 | 79.44 | 23/30 | 5 | 2 | 0,Table 2 (mean and persistent correctness),,
L106,zhang2026same,2609.27678,https://arxiv.org/abs/2609.27678,2026-09-23,"Zhang, Chen, Xie, Zhou, Peng, Fan, et al.",mixed,Claude Sonnet 5,Sonnet 5,classification,ContractNLI,30,human_adjudicated,all_twelve_correct_count,24,,,,zhang2026same.sonnetAllTwelveCorrectCount,Jev,23,same prompt,,Convert gateway,none,none,not reported (no cascade/escalation experiment in this paper),public-pre-2026,yes (https://github.com/ZF-Utokyo/Jev-Benchmark),Claude Sonnet 5 | 86.67 | 24/30 | 1 | 5 | 0,Table 2 (mean and persistent correctness),,
L107,zhang2026same,2609.27678,https://arxiv.org/abs/2609.27678,2026-09-23,"Zhang, Chen, Xie, Zhou, Peng, Fan, et al.",mixed,Claude Sonnet 5,Sonnet 5,classification,ContractNLI,30,human_adjudicated,all_twelve_correct_diff_vs_jev_pct_points,+3.33,-10.00,+16.67,"95% paired bootstrap CI (5,000 whole-contract resamples)",zhang2026same.sonnetAllTwelveCorrectDiffVsJevPctPoints,Jev,23,same prompt,,Convert gateway,none,none,not reported (no cascade/escalation experiment in this paper),public-pre-2026,yes (https://github.com/ZF-Utokyo/Jev-Benchmark),"Claude Sonnet 5 | +5.02 | [+3.25, +6.79] | +3.33 | [-10.00, +16.67]",Table 5 (paired differences from Jev),,
L108,zhang2026same,2609.27678,https://arxiv.org/abs/2609.27678,2026-09-23,"Zhang, Chen, Xie, Zhou, Peng, Fan, et al.",mixed,Jev,1.13.0,classification,ContractNLI,360,human_adjudicated,mean_correct_pct,79.44,,,,zhang2026same.jevMeanCorrectPct,Qwen3.5-9B,79.17,same prompt,,,none,none,not reported (no cascade/escalation experiment in this paper),public-pre-2026,yes (https://github.com/ZF-Utokyo/Jev-Benchmark),"Jev answers 286 of its 360 anchor responses correctly (79.44%), and Qwen9B answers 285 (79.17%).","Section 4.2, Similar means on the same targets",,
L109,zhang2026same,2609.27678,https://arxiv.org/abs/2609.27678,2026-09-23,"Zhang, Chen, Xie, Zhou, Peng, Fan, et al.",mixed,Qwen3.5-9B,3.5-9B,classification,ContractNLI,360,human_adjudicated,mean_correct_diff_vs_jev_pct_points,-0.28,-9.44,+10.00,"95% paired bootstrap CI (5,000 whole-contract resamples)",zhang2026same.qwen9bMeanCorrectDiffVsJevPctPoints,Jev,79.44,same prompt,,"local GPU, BF16, $2.00/GPU-hour rental equivalent",none,none,not reported (no cascade/escalation experiment in this paper),public-pre-2026,yes (https://github.com/ZF-Utokyo/Jev-Benchmark),"The paired mean difference, Qwen9B minus Jev, is  − 0.28 points (95% interval:  − 9.44–10.00), which does not establish equivalence.","Section 4.2, Similar means on the same targets",,
L110,zhang2026same,2609.27678,https://arxiv.org/abs/2609.27678,2026-09-23,"Zhang, Chen, Xie, Zhou, Peng, Fan, et al.",mixed,Claude Haiku 4.5,Haiku 4.5,classification,ContractNLI,30,human_adjudicated,all_twelve_correct_diff_vs_jev_pct_points,+2.06,+0.43,+3.73,"95% paired bootstrap CI (5,000 whole-contract resamples)",zhang2026same.haikuAllTwelveCorrectDiffVsJev,Jev,23,same prompt,,Convert gateway,none,none,not reported (no cascade/escalation experiment in this paper),public-pre-2026,yes (https://github.com/ZF-Utokyo/Jev-Benchmark),"Claude Haiku 4.5 | +2.06 | [+0.43, +3.73] | -13.33 | [-26.67, -3.33]",Table 5 (paired differences from Jev),,
L111,zhang2026same,2609.27678,https://arxiv.org/abs/2609.27678,2026-09-23,"Zhang, Chen, Xie, Zhou, Peng, Fan, et al.",mixed,Qwen3.5-4B,3.5-4B,classification,ContractNLI,30,human_adjudicated,all_twelve_correct_diff_vs_jev_pct_points,-3.16,-6.70,+0.00,"95% paired bootstrap CI (5,000 whole-contract resamples)",zhang2026same.qwen4bAllTwelveCorrectDiffVsJev,Jev,23,same prompt,,"local GPU, BF16, $2.00/GPU-hour rental equivalent",none,none,not reported (no cascade/escalation experiment in this paper),public-pre-2026,yes (https://github.com/ZF-Utokyo/Jev-Benchmark),"Qwen3.5-4B | -3.16 | [-6.70, +0.00] | -20.00 | [-36.67, -3.33]",Table 5 (paired differences from Jev),,
L112,zhang2026same,2609.27678,https://arxiv.org/abs/2609.27678,2026-09-23,"Zhang, Chen, Xie, Zhou, Peng, Fan, et al.",mixed,Claude Haiku 4.5,Haiku 4.5,classification,ContractNLI,90,human_adjudicated,accuracy_change_pct_points_CtoD,-11.11,-23.33,-1.11,"95% paired bootstrap CI (5,000 whole-contract resamples)",zhang2026same.haikuAccuracyDropCtoD,Jev,0,same prompt,,Convert gateway,none,none,not reported (no cascade/escalation experiment in this paper),public-pre-2026,yes (https://github.com/ZF-Utokyo/Jev-Benchmark),Its accuracy falls by 11.11 percentage points (descriptive paired 95% interval:  − 23.33 to  − 1.11).,"Section 4.3, RQ3 Changes hidden by average accuracy",,
L113,zhang2026same,2609.27678,https://arxiv.org/abs/2609.27678,2026-09-23,"Zhang, Chen, Xie, Zhou, Peng, Fan, et al.",mixed,Claude Haiku 4.5,Haiku 4.5,classification,ContractNLI,90,human_adjudicated,changed_responses_count_CtoD,14,,,,zhang2026same.haikuChangedResponsesCtoD,Jev,0,same prompt,,Convert gateway,none,none,not reported (no cascade/escalation experiment in this paper),public-pre-2026,yes (https://github.com/ZF-Utokyo/Jev-Benchmark),C → \to D | 90/90 | 14 | 12 | 2 | 0,Table 6 (directions of answer changes),,
L114,zhang2026same,2609.27678,https://arxiv.org/abs/2609.27678,2026-09-23,"Zhang, Chen, Xie, Zhou, Peng, Fan, et al.",mixed,Qwen3.5-4B,3.5-4B,classification,ContractNLI,90,human_adjudicated,changed_responses_count_AtoB,9,,,,zhang2026same.qwen4bChangedResponsesAtoB,,,same prompt,,"local GPU, BF16, $2.00/GPU-hour rental equivalent",none,none,not reported (no cascade/escalation experiment in this paper),public-pre-2026,yes (https://github.com/ZF-Utokyo/Jev-Benchmark),"For Qwen4B, A and B have identical accuracy, yet nine of 90 paired responses change: four regressions, four corrections, and one switch between wrong labels.","Section 4.3, RQ3 Changes hidden by average accuracy",,
L115,zhang2026same,2609.27678,https://arxiv.org/abs/2609.27678,2026-09-23,"Zhang, Chen, Xie, Zhou, Peng, Fan, et al.",mixed,Jev,1.13.0,classification,ContractNLI,90,human_adjudicated,changed_responses_count_CtoD,0,,,,zhang2026same.jevChangedResponsesCtoD,Claude Haiku 4.5,14,same prompt,,,none,none,not reported (no cascade/escalation experiment in this paper),public-pre-2026,yes (https://github.com/ZF-Utokyo/Jev-Benchmark),C → \to D | 90/90 | 0 | 0 | 0 | 0,Table 6 (directions of answer changes),,
L116,zhang2026same,2609.27678,https://arxiv.org/abs/2609.27678,2026-09-23,"Zhang, Chen, Xie, Zhou, Peng, Fan, et al.",mixed,Jev,1.13.0,classification,ContractNLI,90,human_adjudicated,median_latency_increase_BtoC_s,+0.19,+0.06,+0.24,"95% paired bootstrap CI (5,000 whole-contract resamples)",zhang2026same.jevMedianLatencyIncreaseBtoC,Gemini 3.5 Flash-Lite,+0.49,same prompt,B: 1.15 s median; C: 1.22 s median,"same client machine, one in-flight request per model, no retries",none,none,not reported (no cascade/escalation experiment in this paper),public-pre-2026,yes (https://github.com/ZF-Utokyo/Jev-Benchmark),"Jev 1.13.0 | 1.24 | 1.59 | 1.15 | 1.22 | +0.19 | [ + 0.06 , + 0.24 ] [+0.06,+0.24]",Table 23 / Appendix M,,
L117,zhang2026same,2609.27678,https://arxiv.org/abs/2609.27678,2026-09-23,"Zhang, Chen, Xie, Zhou, Peng, Fan, et al.",mixed,Gemini 3.5 Flash-Lite,3.5 Flash-Lite,classification,ContractNLI,90,human_adjudicated,median_latency_increase_BtoC_s,+0.49,+0.45,+0.58,"95% paired bootstrap CI (5,000 whole-contract resamples)",zhang2026same.flashLiteMedianLatencyIncreaseBtoC,Jev,+0.19,same prompt,B: 0.99 s median; C: 1.86 s median,hosted API,none,none,not reported (no cascade/escalation experiment in this paper),public-pre-2026,yes (https://github.com/ZF-Utokyo/Jev-Benchmark),"Gemini 3.5 Flash-Lite | 1.60 | 2.78 | 0.99 | 1.86 | +0.49 | [ + 0.45 , + 0.58 ] [+0.45,+0.58]",Table 23 / Appendix M,,
L118,zhang2026same,2609.27678,https://arxiv.org/abs/2609.27678,2026-09-23,"Zhang, Chen, Xie, Zhou, Peng, Fan, et al.",mixed,GPT-5.6 Luna,GPT-5.6,classification,ContractNLI,90,human_adjudicated,median_latency_increase_BtoC_s,+0.67,+0.59,+0.71,"95% paired bootstrap CI (5,000 whole-contract resamples)",zhang2026same.lunaMedianLatencyIncreaseBtoC,Jev,+0.19,same prompt,B: 1.10 s median; C: 1.78 s median,OpenRouter,none,none,not reported (no cascade/escalation experiment in this paper),public-pre-2026,yes (https://github.com/ZF-Utokyo/Jev-Benchmark),"GPT-5.6 Luna | 1.74 | 2.25 | 1.10 | 1.78 | +0.67 | [ + 0.59 , + 0.71 ] [+0.59,+0.71]",Table 23 / Appendix M,,
L119,huang2026can,2609.27607,https://arxiv.org/abs/2609.27607,2026-09-23,"Huang, Yang, Ma, Liang, Cai, Ma, et al.",academic,Jev,jev-1.13.0,judging,RadEvalX,100,human_adjudicated,kendall_tau,0.573,0.470,0.661,95% study-bootstrap CI,huang2026can.kendallOneqRadevalxTotal,Open NLI,0.337,not reported,,TypeSafe AI Jev API (jev-1.13.0),none,none,,public-pre-2026,no,Jev–OneQ reaches τ_(b) = 0.573 on RadEvalX and 0.398 on RadEvalExpert (Table 1).,§5.1; Table 1 (Panel A),,
L120,huang2026can,2609.27607,https://arxiv.org/abs/2609.27607,2026-09-23,"Huang, Yang, Ma, Liang, Cai, Ma, et al.",academic,Jev,jev-1.13.0,judging,RadEvalExpert,624,human_adjudicated,kendall_tau,0.398,0.339,0.455,95% study-bootstrap CI,huang2026can.kendallOneqRadevalexpertTotal,Open NLI,0.323,not reported,,TypeSafe AI Jev API (jev-1.13.0),none,none,,public-pre-2026,no,Jev–OneQ reaches τ_(b) = 0.573 on RadEvalX and 0.398 on RadEvalExpert (Table 1).,§5.1; Table 1 (Panel A),,
L121,huang2026can,2609.27607,https://arxiv.org/abs/2609.27607,2026-09-23,"Huang, Yang, Ma, Liang, Cai, Ma, et al.",academic,Jev,jev-1.13.0,judging,RadEvalX,100,human_adjudicated,kendall_tau,0.346,0.204,0.475,95% study-bootstrap CI,huang2026can.kendallOneqRadevalxSignificant,Open NLI,0.162,not reported,,TypeSafe AI Jev API (jev-1.13.0),none,none,,public-pre-2026,no,"Jev–OneQ | 0.573 [0.470, 0.661] | 0.346 [0.204, 0.475] | 0.398 [0.339, 0.455] | 0.352 [0.287, 0.410]",Table 1 (Panel A),,
L122,huang2026can,2609.27607,https://arxiv.org/abs/2609.27607,2026-09-23,"Huang, Yang, Ma, Liang, Cai, Ma, et al.",academic,Jev,jev-1.13.0,judging,RadEvalExpert,624,human_adjudicated,kendall_tau,0.352,0.287,0.410,95% study-bootstrap CI,huang2026can.kendallOneqRadevalexpertSignificant,Open NLI,0.276,not reported,,TypeSafe AI Jev API (jev-1.13.0),none,none,,public-pre-2026,no,"Jev–OneQ | 0.573 [0.470, 0.661] | 0.346 [0.204, 0.475] | 0.398 [0.339, 0.455] | 0.352 [0.287, 0.410]",Table 1 (Panel A),,
L123,huang2026can,2609.27607,https://arxiv.org/abs/2609.27607,2026-09-23,"Huang, Yang, Ma, Liang, Cai, Ma, et al.",academic,Jev,"jev-1.13.0 (Full question set, raw support probabilities)",judging,ReXErr,12188,task_outcome,auroc,0.977,0.972,0.982,95% CI,huang2026can.aurocFalseNegation,,,not reported,,TypeSafe AI Jev API (jev-1.13.0),none,none,,public-pre-2026,no,"Jev detects false negation with an AUROC of 0.977 [0.972, 0.982] and recall of 91.9% at threshold 0.5.",§5.2,,
L124,huang2026can,2609.27607,https://arxiv.org/abs/2609.27607,2026-09-23,"Huang, Yang, Ma, Liang, Cai, Ma, et al.",academic,Jev,jev-1.13.0 (OneQ),judging,RadEvalX,100,none,cost_usd_per_pair,0.000226,,,,huang2026can.costPerPairRadevalx,Jev-Full,0.00040720,not reported,"~2.3 cents per 100 report pairs (judgment API input tokens only, excludes local decomposition)",TypeSafe AI Jev API (jev-1.13.0),none,none,,public-pre-2026,no,"OneQ’s judgment API cost is approximately $0.000226 and $0.000258 per pair, excluding local decomposition.",§5.3; Table A8 (Appendix E),,
L125,huang2026can,2609.27607,https://arxiv.org/abs/2609.27607,2026-09-23,"Huang, Yang, Ma, Liang, Cai, Ma, et al.",academic,Jev,jev-1.13.0 (OneQ),judging,RadEvalExpert,624,none,cost_usd_per_pair,0.000258,,,,huang2026can.costPerPairRadevalexpert,Jev-Full,0.00045348,not reported,"~2.6 cents per 100 report pairs (judgment API input tokens only, excludes local decomposition)",TypeSafe AI Jev API (jev-1.13.0),none,none,,public-pre-2026,no,"OneQ’s judgment API cost is approximately $0.000226 and $0.000258 per pair, excluding local decomposition.",§5.3; Table A8 (Appendix E),,
L126,huang2026can,2609.27607,https://arxiv.org/abs/2609.27607,2026-09-23,"Huang, Yang, Ma, Liang, Cai, Ma, et al.",academic,Jev,jev-1.13.0 (OneQ),judging,RadEvalX + RadEvalExpert,,none,cost_usd_per_100_pairs_upper_bound,0.03,,,,huang2026can.costPer100PairsUpperBound,,,not reported,"stated as 'less than US$0.03 per 100 report pairs, excluding local decomposition'",TypeSafe AI Jev API (jev-1.13.0),none,none,,public-pre-2026,no,"Judgment API calls cost less than US$0.03 per 100 report pairs, excluding local decomposition.",Abstract,,
L127,huang2026can,2609.27607,https://arxiv.org/abs/2609.27607,2026-09-23,"Huang, Yang, Ma, Liang, Cai, Ma, et al.",academic,Jev,jev-1.13.0,judging,RadEvalX,100,none,token_reduction_pct,44.56,,,,huang2026can.tokenReductionRadevalx,Jev-Full input tokens/pair,9695.17,not reported,"OneQ uses 5,374.55 input tokens/pair vs Full's 9,695.17",TypeSafe AI Jev API (jev-1.13.0),none,none,,public-pre-2026,no,"On RadEvalX, Full uses 9,695.17 input tokens per pair and OneQ uses 5,374.55, a 44.56% reduction.",§5.3,,
L128,huang2026can,2609.27607,https://arxiv.org/abs/2609.27607,2026-09-23,"Huang, Yang, Ma, Liang, Cai, Ma, et al.",academic,Jev,jev-1.13.0,judging,RadEvalExpert,624,none,token_reduction_pct,43.03,,,,huang2026can.tokenReductionRadevalexpert,Jev-Full input tokens/pair,10797.20,not reported,"OneQ uses 6,151.13 input tokens/pair vs Full's 10,797.20",TypeSafe AI Jev API (jev-1.13.0),none,none,,public-pre-2026,no,"On RadEvalExpert, the corresponding means are 10,797.20 and 6,151.13, a 43.03% reduction.",§5.3,,
L129,huang2026can,2609.27607,https://arxiv.org/abs/2609.27607,2026-09-23,"Huang, Yang, Ma, Liang, Cai, Ma, et al.",academic,RadMatch (local 27B),"RadMatch (Corbière et al. 2026, arXiv:2609.01470) on local Qwen3.8-27B-FP8 backend, temperature 1",judging,RadEvalX,100,human_adjudicated,kendall_tau,0.491,0.365,0.613,95% study-bootstrap CI,huang2026can.radmatchSignificantRadevalx,Jev-OneQ,0.346,not reported,,"local Qwen3.8-27B-FP8 backend, two 32 GB RTX 5090 D GPUs (temperature 1, RadMatch default)",none,none,,public-pre-2026,no,"For significant errors, RadMatch reaches 0.491 versus OneQ’s 0.346; the difference is  − 0.145 [ − 0.294,  − 0.004].",§5.1; Table 1 (Panel A),,
L130,huang2026can,2609.27607,https://arxiv.org/abs/2609.27607,2026-09-23,"Huang, Yang, Ma, Liang, Cai, Ma, et al.",academic,RadMatch (local 27B),"RadMatch (Corbière et al. 2026, arXiv:2609.01470) on local Qwen3.8-27B-FP8 backend, temperature 1",judging,RadEvalExpert (shared 200-pair subset),200,human_adjudicated,kendall_tau,0.485,0.385,0.580,95% study-bootstrap CI,huang2026can.radmatchSignificantRadevalexpertSubset,Jev-OneQ,0.259,not reported,,"local Qwen3.8-27B-FP8 backend, two 32 GB RTX 5090 D GPUs (temperature 1, RadMatch default)",none,none,,public-pre-2026,no,"Jev–OneQ                                         0.322 [0.219, 0.415]   0.259 [0.152, 0.354]
Jev–Full                                         0.320 [0.216, 0.417]   0.258 [0.153, 0.356]
Open NLI                                         0.294 [0.198, 0.393]   0.230 [0.126, 0.336]
RadFact (local 27B)                              0.151 [0.023, 0.281]   0.186 [0.058, 0.309]
RadMatch (local 27B)                             0.453 [0.348, 0.549]   0.485 [0.385, 0.580]",Table 1 (Panel B),,
L131,huang2026can,2609.27607,https://arxiv.org/abs/2609.27607,2026-09-23,"Huang, Yang, Ma, Liang, Cai, Ma, et al.",academic,RadMatch (local 27B),"RadMatch (Corbière et al. 2026, arXiv:2609.01470) on local Qwen3.8-27B-FP8 backend, temperature 1",judging,RadEvalExpert (shared 200-pair subset),200,human_adjudicated,kendall_tau,0.453,0.348,0.549,95% study-bootstrap CI,huang2026can.radmatchTotalRadevalexpertSubset,Jev-OneQ,0.322,not reported,,"local Qwen3.8-27B-FP8 backend, two 32 GB RTX 5090 D GPUs (temperature 1, RadMatch default)",none,none,,public-pre-2026,no,"Across these 200 pairs, its total-error correlation is 0.453, compared with 0.322 for OneQ and 0.320 for Full.",§5.1; Table 1 (Panel B),,
L200,li2026replacing,2609.22753,https://arxiv.org/abs/2609.22753,2026-09-19,"Li, Wang, Gong, Lang, Yu",academic,Jev,"typesafe/jev-1.13 via OpenRouter Decisions endpoint; responses identify jev-1.13-20260917, provider TypeSafe",agent control,"Study A: 216 synthetic English intent-contract requests, block 1",216,task_outcome,latency_ms_median,319.5,,,,li2026replacing.jevMedianLatencyBlock1,"DeepSeek (deepseek-v4.1-flash, concise structured output)",434.7,same prompt,"median 319.5 ms, p95 529.3 ms, block 1",OpenRouter (TypeSafe provider); DeepSeek via OpenRouter/Together,none,none,,new,no,1       Jev        214/216   319.5         529.3,"Section V-A; Table II, Block 1 row",ledger-extract-B,1.0
L201,li2026replacing,2609.22753,https://arxiv.org/abs/2609.22753,2026-09-19,"Li, Wang, Gong, Lang, Yu",academic,Jev,"typesafe/jev-1.13 via OpenRouter Decisions endpoint; responses identify jev-1.13-20260917, provider TypeSafe",agent control,"Study A: 216 synthetic English intent-contract requests, block 2",216,task_outcome,latency_ms_median,314.7,,,,li2026replacing.jevMedianLatencyBlock2,"DeepSeek (deepseek-v4.1-flash, concise structured output)",425.9,same prompt,"median 314.7 ms, p95 557.8 ms, block 2",OpenRouter (TypeSafe provider); DeepSeek via OpenRouter/Together,none,none,,new,no,2       Jev        213/216   314.7         557.8,"Table II, Block 2 row",ledger-extract-B,1.0
